Date,Open,High,Low,Close,Adj Close,Volume
9/16/2013,193.699997,194.809998,192.610001,193.149994,163.942352,3902400
9/17/2013,193.419998,194.149994,191.830002,192.160004,163.102051,2930900
9/18/2013,192.600006,194.889999,192,194.419998,165.020294,3841800
9/19/2013,194.179993,194.889999,193.220001,193.389999,164.146042,3178100
9/20/2013,193.960007,194.429993,190.020004,190.020004,161.285645,8525900
9/23/2013,190.059998,192.410004,189.330002,190.990005,162.108978,3340800
9/24/2013,190.929993,191.559998,189.660004,189.970001,161.243225,3085300
9/25/2013,190.139999,190.619995,188.5,189.470001,160.818817,2654500
9/26/2013,190.100006,191.759995,189.460007,190.220001,161.455429,2093600
9/27/2013,188.869995,188.940002,186.449997,186.919998,158.654419,3905500
9/30/2013,185.559998,186.740005,184.339996,185.179993,157.177521,3978200
10/1/2013,185.339996,186.649994,184.649994,186.380005,158.196106,2681200
10/2/2013,185.539993,186.309998,184.410004,184.960007,156.990814,3617100
10/3/2013,184.699997,184.960007,183,183.860001,156.057159,3211800
10/4/2013,184.169998,185.130005,183.580002,184.100006,156.260849,2863600
10/7/2013,181.850006,183.309998,181.850006,182.009995,154.486893,3966400
10/8/2013,181.889999,181.990005,178.710007,178.720001,151.694412,5578300
10/9/2013,179.369995,181.669998,179.100006,181.320007,153.90126,4423500
10/10/2013,183.169998,184.770004,182.360001,184.770004,156.829544,3658900
10/11/2013,185.25,186.229996,184.119995,186.160004,158.009354,3232600
10/14/2013,185.410004,186.990005,184.419998,186.970001,158.696884,2663100
10/15/2013,185.740005,185.940002,184.220001,184.660004,156.736176,3365100
10/16/2013,185.419998,186.729996,184.990005,186.729996,158.493149,6718000
10/17/2013,173.839996,177,172.570007,174.830002,148.392654,22368900
10/18/2013,174.800003,175,173.25,173.779999,147.501434,10548000
10/21/2013,174.419998,174.75,172.630005,172.860001,146.720551,7098700
10/22/2013,173.350006,175.570007,172.949997,174.970001,148.511505,6977300
10/23/2013,175.089996,175.990005,174.399994,175.770004,149.190521,5409400
10/24/2013,176.429993,177.889999,176.25,177.800003,150.913528,5533300
10/25/2013,178.429993,179.100006,176.259995,176.850006,150.107193,4842800
10/28/2013,177.039993,177.889999,176.199997,177.350006,150.53157,3712700
10/29/2013,177.619995,182.320007,177.5,182.119995,154.580261,8904600
10/30/2013,181.690002,182.179993,179.860001,180.149994,152.908173,5273700
10/31/2013,179.649994,181.669998,179.039993,179.210007,152.110352,4318100
11/1/2013,179.809998,180.339996,178.880005,179.229996,152.127289,3644500
11/4/2013,179.899994,180.800003,179.339996,180.270004,153.010025,3483300
11/5/2013,179.539993,179.800003,177.710007,177.850006,150.955948,6096800
11/6/2013,177.910004,179.75,177.779999,179.190002,152.910141,4560700
11/7/2013,179.600006,181.389999,179.600006,180,153.601349,5219500
11/8/2013,178.830002,180.080002,177.350006,179.990005,153.592804,6275000
11/11/2013,180.190002,183.389999,180.039993,182.880005,156.05896,5222300
11/12/2013,182.529999,184.050003,182.259995,183.070007,156.221085,4258500
11/13/2013,182.270004,183.550003,181.589996,183.550003,156.630692,4704400
11/14/2013,180.479996,183.199997,179.660004,182.210007,155.487198,6321500
